symbol,name,source_category,instrument_type,sector,status
SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
SHPC,Sanima Mai Hydropower Limited,Hydropower,ordinary,Hydropower,listed
SICL,Shikhar Insurance Company Limited,Non-Life Insurance,ordinary,Non-Life Insurance,listed
SIFC,Shree Investment Finance Company Limited,Finance,ordinary,Finance,listed
SIGS2,Siddhartha Investment Growth Scheme-2,Mutual Fund,mutual_fund,,listed
SIGS3,Siddhartha Investment Growth Scheme 3,Mutual Fund,mutual_fund,,listed
SIKLES,Sikles Hydropower Limited,Hydropower,ordinary,Hydropower,listed
SINDU,Sindhu Bikas Bank Limited,Development Bank,ordinary,Development Bank,listed
SIPD,Shikhar Power Development Limited,Hydropower,ordinary,Hydropower,listed
SJCL,Sanjen Jalavidhyut Company Limited,Hydropower,ordinary,Hydropower,listed
SJLIC,SuryaJyoti Life Insurance Company Limited,Life Insurance,ordinary,Life Insurance,listed
SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
SKHEL,Suryakunda Hydro Electric Limited,Hydropower,ordinary,Hydropower,listed
SKHL,Super Khudi Hydropower Limited,Hydropower,ordinary,Hydropower,listed
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
SLBBLP,Swarojgar Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,promoter_share,,listed
SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
SLCF,Sanima Large Cap Fund,Mutual Fund,mutual_fund,,listed
SLI,Sanima Life Insurance Company Limited,Merged,ordinary,,merged
SLICL,Surya Life Insurance Company Limited,Merged,ordinary,,merged
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
SMB,Support Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
SMH,Supermai Hydropower  Limited,Hydropower,ordinary,Hydropower,listed
SMHL,Super Madi Hydropower Limited,Hydropower,ordinary,Hydropower,listed
SMJC,Sagarmatha Jalbidhyut Company Limited,Hydropower,ordinary,Hydropower,listed
SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
SNLI,Sun Nepal Life Insurance Company Limited,Life Insurance,ordinary,Life Insurance,listed
SNORL,Snow Rivers Limited,Hydropower,ordinary,Hydropower,listed
SOHL,Solu Hydropower Limited,Hydropower,ordinary,Hydropower,listed
SONA,Sonapur Minerals and Oil Limited,Manufacturing and Processing,ordinary,Manufacturing and Processing,listed
SOPL,Sopan Pharmaceuticals Limited,Manufacturing and Processing,ordinary,Manufacturing and Processing,listed
SPC,Samling Power Company Limited,Hydropower,ordinary,Hydropower,listed
SPDL,Synergy Power Development Limited,Hydropower,ordinary,Hydropower,listed
SPHL,Sayapatri Hydropower Limited,Hydropower,ordinary,Hydropower,listed
SPIL,Siddhartha Premier Insurance Limited,Non-Life Insurance,ordinary,Non-Life Insurance,listed
SPL,Shuvam Power Limited,Hydropower,ordinary,Hydropower,listed
SRBL,Sunrise Bank Limited,Merged,ordinary,,merged
SRBLD83,10.25% SRBL Debenture 2083,Corporate Debentures,debenture,,listed
SRLI,Sanima Reliance Life Insurance Limited,Life Insurance,ordinary,Life Insurance,listed
SRLIP,Sanima Reliance Life Insurance Limited Promoter Share,Promoter Share,promoter_share,,listed
SSHL,Shiva Shree Hydropower Limited,Hydropower,ordinary,Hydropower,listed
STC,Salt Trading Corporation Limited,Trading,ordinary,Trading,listed
