published_date,nav
2024-11-16,12.03
2024-11-17,12.07
2024-11-18,12.06
2024-11-19,11.87
2024-11-20,12.9
2024-11-21,11.79
2024-11-22,11.79
2024-11-23,11.79
2024-11-24,11.74
2024-11-25,11.79
2024-11-26,11.91
2024-11-28,11.91
2024-11-29,11.92
2024-11-30,11.92
2024-12-01,11.88
2024-12-02,11.91
2024-12-03,11.87
2024-12-04,11.85
2024-12-05,11.75
2024-12-06,11.75
2024-12-07,11.75
2024-12-08,11.59
2024-12-09,11.54
2024-12-10,11.51
2024-12-11,11.65
2024-12-12,11.57
2024-12-13,11.57
2024-12-14,11.57
2024-12-15,11.57
2024-12-16,11.39
2024-12-17,11.38
2024-12-18,11.33
2024-12-19,11.26
2024-12-20,11.26
2024-12-21,11.26
2024-12-22,11.2
2024-12-23,11.27
2024-12-24,11.31
2024-12-25,11.31
2024-12-26,11.29
2024-12-27,11.29
2024-12-28,11.29
2024-12-29,11.25
2024-12-30,11.24
2024-12-31,11.09
2025-01-01,11.04
2025-01-02,11.06
2025-01-03,11.06
2025-01-04,11.04
2025-01-05,11.04
2025-01-06,11.22
2025-01-07,11.27
2025-01-08,11.35
2025-01-09,11.26
2025-01-10,11.29
2025-01-11,11.29
2025-01-12,11.22
2025-01-13,11.25
2025-01-14,11.24
2025-01-15,11.25
2025-01-16,11.22
2025-01-17,11.22
2025-01-18,11.22
2025-01-19,11.27
2025-01-20,11.26
2025-01-21,11.28
2025-01-22,11.46
2025-01-23,11.41
2025-01-24,11.41
2025-01-25,11.41
2025-01-26,11.38
2025-01-27,11.35
2025-01-28,11.44
2025-01-29,11.43
2025-01-30,11.43
2025-01-31,11.43
2025-02-01,11.43
2025-02-02,11.72
2025-02-03,11.73
2025-02-04,11.7
2025-02-05,11.71
2025-02-06,11.64
2025-02-07,11.64
2025-02-08,11.64
2025-02-09,11.57
2025-02-10,11.56
2025-02-11,11.58
2025-02-12,11.58
2025-02-13,11.56
2025-02-14,11.56
2025-02-15,11.56
2025-02-16,11.65
2025-02-17,11.79
2025-02-18,11.8
2025-02-19,11.8
2025-02-20,11.83
2025-02-21,11.83
2025-02-22,11.83
2025-02-23,11.84
2025-02-24,11.84
2025-02-25,11.88
2025-02-26,11.88
2025-02-27,12.05
2025-02-28,12.05
2025-03-01,12.05
2025-03-02,12.37
2025-03-03,12.3
2025-03-04,12.22
2025-03-05,12.12
2025-03-06,12.16
2025-03-07,12.16
2025-03-08,12.16
2025-03-09,12
2025-03-10,11.92
2025-03-11,11.89
2025-03-12,11.92
2025-03-13,11.92
2025-03-14,11.92
2025-03-15,11.92
2025-03-16,11.83
2025-03-17,11.81
2025-03-18,11.77
2025-03-19,11.7
2025-03-20,11.62
2025-03-21,11.62
2025-03-22,11.62
2025-03-23,11.39
2025-03-24,11.49
2025-03-25,11.26
2025-03-26,11.42
2025-03-27,11.56
2025-03-28,11.57
2025-03-29,11.57
2025-03-30,11.66
2025-03-31,11.66
2025-04-01,11.61
2025-04-02,11.64
2025-04-03,11.68
2025-04-04,11.68
2025-04-05,11.68
2025-04-06,11.68
2025-04-07,11.56
2025-04-08,11.54
2025-04-09,11.58
2025-04-10,11.59
2025-04-11,11.59
2025-04-12,11.59
2025-04-13,11.56
2025-04-14,11.56
2025-04-15,11.67
2025-04-16,11.72
2025-04-17,11.83
2025-04-18,11.83
2025-04-19,11.83
2025-04-20,11.74
2025-04-21,11.71
2025-04-22,11.67
2025-04-23,11.53
2025-04-24,11.48
2025-04-25,11.48
2025-04-26,11.48
2025-04-27,11.45
2025-04-28,11.41
2025-04-29,11.35
2025-04-30,11.35
2025-05-01,11.34
2025-05-02,11.34
2025-05-03,11.34
2025-05-04,11.35
2025-05-05,11.33
2025-05-06,11.36
2025-05-07,11.62
2025-05-08,11.59
2025-05-09,11.59
2025-05-10,11.59
2025-05-11,11.58
2025-05-12,11.61
2025-05-13,11.61
2025-05-14,11.59
2025-05-15,11.54
2025-05-16,11.54
2025-05-17,11.54
2025-05-18,11.53
2025-05-19,11.59
2025-05-20,11.75
2025-05-21,11.72
2025-05-22,11.83
2025-05-23,11.85
2025-05-24,11.85
2025-05-25,11.87
2025-05-26,11.83
2025-05-27,11.81
2025-05-28,11.84
2025-05-29,11.84
2025-05-30,11.84
2025-05-31,11.84
2025-06-01,11.84
2025-06-02,11.74
2025-06-03,11.64
2025-06-04,11.6
2025-06-05,11.55
2025-06-06,11.55
2025-06-07,11.55
2025-06-08,11.51
2025-06-09,11.54
2025-06-10,11.62
2025-06-11,11.57
2025-06-12,11.55
2025-06-13,11.55
2025-06-14,11.55
2025-06-15,11.49
2025-06-16,11.63
2025-06-17,11.64
2025-06-18,11.62
2025-06-19,11.56
2025-06-20,11.56
2025-06-21,11.56
2025-06-22,11.45
2025-06-23,11.45
2025-06-24,11.44
2025-06-25,11.44
2025-06-26,11.42
2025-06-27,11.42
2025-06-28,11.42
2025-06-29,11.54
2025-06-30,11.59
2025-07-01,11.73
2025-07-02,11.87
2025-07-03,11.95
2025-07-04,11.95
2025-07-05,11.95
2025-07-06,11.89
2025-07-07,11.79
2025-07-08,11.79
2025-07-09,11.88
2025-07-10,12
2025-07-11,12
2025-07-12,12
2025-07-13,12.17
2025-07-14,12.03
2025-07-15,12.19
2025-07-16,12.38
2025-07-17,12.62
2025-07-18,12.62
2025-07-19,12.62
2025-07-20,12.59
2025-07-21,12.77
2025-07-22,13.08
2025-07-23,13.06
2025-07-24,13.09
2025-07-25,13.09
2025-07-26,13.09
2025-07-27,13.09
2025-07-28,11.49
2025-07-29,11.58
2025-07-30,11.35
2025-07-31,11.26
2025-08-01,11.26
2025-08-02,11.26
2025-08-03,11.1
2025-08-04,11.14
2025-08-05,11.01
2025-08-06,11.01
2025-08-07,11.07
2025-08-08,11.12
2025-08-09,11.12
2025-08-10,11.12
2025-08-11,10.98
2025-08-12,10.88
2025-08-13,10.86
2025-08-14,10.85
2025-08-15,10.85
2025-08-16,10.85
2025-08-17,10.76
2025-08-18,10.79
2025-08-19,10.81
2025-08-20,10.78
2025-08-21,10.74
2025-08-22,10.74
2025-08-23,10.74
2025-08-24,10.69
2025-08-25,10.77
2025-08-26,10.77
2025-08-27,10.96
2025-08-28,10.8
2025-08-29,10.8
2025-08-30,10.8
2025-08-31,10.67
2025-09-01,10.72
2025-09-02,10.65
2025-09-03,10.59
2025-09-04,10.59
2025-09-05,10.59
2025-09-06,10.59
2025-09-07,10.56
2025-09-08,10.46
2025-09-09,10.46
2025-09-10,10.46
2025-09-11,10.46
2025-09-12,10.45
2025-09-13,10.45
2025-09-14,10.45
2025-09-15,10.45
2025-09-16,10.45
2025-09-17,10.45
2025-09-18,9.93
2025-09-19,9.93
2025-09-20,9.93
2025-09-21,10.28
2025-09-22,10.28
2025-09-23,10.5
2025-09-24,10.39
2025-09-25,10.36
2025-09-26,10.36
2025-09-27,10.36
2025-09-28,10.41
2025-09-29,10.41
2025-09-30,10.41
2025-10-01,10.41
2025-10-02,10.41
2025-10-03,10.41
2025-10-04,10.41
2025-10-05,10.41
2025-10-06,10.41
2025-10-07,10.24
2025-10-08,10.04
2025-10-09,10.14
2025-10-10,10.14
2025-10-11,10.14
2025-10-12,9.89
2025-10-13,10
2025-10-14,9.92
2025-10-15,9.85
2025-10-16,9.78
2025-10-17,9.79
2025-10-18,9.79
2025-10-19,9.82
2025-10-20,9.82
2025-10-21,9.82
2025-10-22,9.81
2025-10-23,9.81
2025-10-24,9.81
2025-10-25,9.81
2025-10-26,9.81
2025-10-27,9.81
2025-10-28,10.09
2025-10-29,10.05
2025-10-30,10.2
2025-10-31,10.2
2025-11-01,10.2
2025-11-02,10.33
2025-11-03,10.29
2025-11-04,10.2
2025-11-05,10.21
2025-11-06,10.17
2025-11-07,10.17
2025-11-08,10.17
2025-11-09,10.06
2025-11-10,10.04
2025-11-11,10.05
2025-11-12,9.99
2025-11-13,9.99
2025-11-14,9.99
2025-11-15,9.99
2025-11-16,9.97
2025-11-17,10.01
2025-11-18,10.06
2025-11-19,9.98
2025-11-20,10.01
2025-11-21,10.01
2025-11-22,10.01
2025-11-23,10.17
2025-11-24,10.35
2025-11-25,10.39
2025-11-26,10.43
2025-11-27,10.43
2025-11-28,10.43
2025-11-29,10.35
2025-11-30,10.35
2025-12-01,10.36
2025-12-02,10.35
2025-12-03,10.29
2025-12-04,10.29
2025-12-05,10.29
2025-12-06,10.28
2025-12-07,10.23
2025-12-08,10.23
2025-12-09,10.24
2025-12-10,10.23
2025-12-11,10.22
2025-12-12,10.22
2025-12-13,10.22
2025-12-14,10.18
2025-12-15,10.21
2025-12-16,10.29
2025-12-17,10.31
2025-12-18,10.27
2025-12-19,10.27
2025-12-20,10.27
2025-12-21,10.2
2025-12-22,10.16
2025-12-23,10.16
2025-12-24,10.16
2025-12-25,10.16
2025-12-26,10.16
2025-12-27,10.15
2025-12-28,10.32
2025-12-29,10.28
2025-12-30,10.28
2025-12-31,10.31
2026-01-01,10.31
2026-01-02,10.27
2026-01-03,10.27
2026-01-04,10.26
2026-01-05,10.33
2026-01-06,10.36
2026-01-07,10.33
2026-01-08,10.35
2026-01-09,10.35
2026-01-10,10.35
2026-01-11,10.35
2026-01-12,10.34
2026-01-13,10.36
2026-01-14,10.36
2026-01-15,10.35
2026-01-16,10.35
2026-01-17,10.35
2026-01-18,10.45
2026-01-19,10.45
2026-01-20,10.58
2026-01-21,10.57
2026-01-22,10.59
2026-01-23,10.59
2026-01-24,10.58
2026-01-25,10.73
2026-01-26,10.7
2026-01-27,10.58
2026-01-28,10.58
2026-01-29,10.55
2026-01-30,10.55
2026-01-31,10.55
2026-02-01,10.47
2026-02-02,10.48
2026-02-03,10.43
2026-02-04,10.41
2026-02-05,10.51
2026-02-06,10.5
2026-02-07,10.5
2026-02-08,10.47
2026-02-09,10.39
2026-02-10,10.34
2026-02-11,10.36
2026-02-12,10.4
2026-02-13,10.39
2026-02-14,10.39
2026-02-15,10.39
2026-02-16,10.36
2026-02-17,10.29
